segment_file,predicted_label,Metric
1qzx_11_2.png,z,0.709481
1qzx_11_3.png,x,0.674254
1qzx_12_0.png,1,0.808064
1qzx_12_1.png,q,0.608539
1qzx_12_2.png,z,0.709481
1qzx_12_3.png,x,0.674254
1xz1_10_0.png,1,0.795904
1xz1_10_1.png,x,0.709538
1xz1_10_2.png,z,0.717893
1xz1_10_3.png,1,0.792635
1xz1_11_0.png,1,0.795904
1xz1_11_1.png,x,0.709538
1xz1_11_2.png,z,0.717893
1xz1_11_3.png,1,0.792635
1xz1_12_0.png,1,0.795904
1xz1_12_1.png,x,0.709538
1xz1_12_2.png,z,0.717893
1xz1_12_3.png,1,0.792635
1xz1_13_0.png,1,0.795904
1xz1_13_1.png,x,0.709538
1xz1_13_2.png,z,0.717893
1xz1_13_3.png,1,0.792635
2ck5_05_0.png,2,0.71687
2ck5_05_1.png,o,0.623316
2ck5_05_2.png,k,0.678982
2ck5_05_3.png,5,0.65757
2ck5_06_0.png,2,0.71687
2ck5_06_1.png,o,0.623316
2ck5_06_2.png,k,0.678982
2ck5_06_3.png,5,0.65757
2ck5_11_0.png,2,0.71687
2ck5_11_1.png,o,0.623316
2ck5_11_2.png,k,0.678982
2ck5_11_3.png,5,0.65757
2ck5_12_0.png,2,0.71687
2ck5_12_1.png,o,0.623316
2ck5_12_2.png,k,0.678982
2ck5_12_3.png,5,0.65757
2ck5_13_0.png,2,0.71687
2ck5_13_1.png,o,0.623316
2ck5_13_2.png,k,0.678982
2ck5_13_3.png,5,0.65757
2ck5_14_0.png,2,0.71687
2ck5_14_1.png,o,0.623316
2ck5_14_2.png,k,0.678982
2ck5_14_3.png,5,0.65757
2ts7_05_0.png,2,0.716171
2ts7_05_1.png,t,0.729695
2ts7_05_2.png,s,0.601432
2ts7_05_3.png,7,0.766104
2ts7_06_0.png,2,0.716171
2ts7_06_1.png,t,0.729695
2ts7_06_2.png,s,0.601432
2ts7_06_3.png,7,0.766104
2ts7_07_0.png,2,0.716171
2ts7_07_1.png,t,0.729695
2ts7_07_2.png,s,0.601432
2ts7_07_3.png,7,0.766104
2ts7_12_0.png,2,0.716171
2ts7_12_1.png,t,0.729695
2ts7_12_2.png,s,0.601432
2ts7_12_3.png,7,0.766104
2ts7_13_0.png,2,0.716171
2ts7_13_1.png,t,0.729695
2ts7_13_2.png,s,0.601432
2ts7_13_3.png,7,0.766104
2ts7_14_0.png,2,0.716171
2ts7_14_1.png,t,0.729695
2ts7_14_2.png,s,0.601432
2ts7_14_3.png,7,0.766104
2ts7_15_0.png,2,0.716171
2ts7_15_1.png,t,0.729695
2ts7_15_2.png,s,0.601432
2ts7_15_3.png,7,0.766104
2ynj_06_0.png,2,0.717825
2ynj_06_1.png,y,0.686477
2ynj_06_2.png,n,0.614789
2ynj_06_3.png,1,0.559286
2ynj_07_0.png,2,0.717825
2ynj_07_1.png,y,0.686477
2ynj_07_2.png,n,0.614789
2ynj_07_3.png,1,0.559286
2ynj_08_0.png,2,0.717825
2ynj_08_1.png,y,0.686477
2ynj_08_2.png,n,0.614789
2ynj_08_3.png,1,0.559286
2ynj_13_0.png,2,0.717825
2ynj_13_1.png,y,0.686477
2ynj_13_2.png,n,0.614789
2ynj_13_3.png,1,0.559286
2ynj_14_0.png,2,0.717825
2ynj_14_1.png,y,0.686477
2ynj_14_2.png,n,0.614789
2ynj_14_3.png,1,0.559286
2ynj_15_0.png,2,0.717825
2ynj_15_1.png,y,0.686477
2ynj_15_2.png,n,0.614789
2ynj_15_3.png,1,0.559286
2ynj_16_0.png,2,0.717825
2ynj_16_1.png,y,0.686477
2ynj_16_2.png,n,0.614789
2ynj_16_3.png,1,0.559286
3362_17_0.png,3,0.684393
3362_17_1.png,3,0.684628
3362_17_2.png,6,0.622523
3362_17_3.png,2,0.697276
3vnm_16_0.png,3,0.697245
3vnm_16_1.png,v,0.669213
3vnm_16_2.png,n,0.635527
3vnm_16_3.png,m,0.644519
3vnm_18_0.png,3,0.697245
3vnm_18_1.png,v,0.669213
3vnm_18_2.png,n,0.635527
3vnm_18_3.png,m,0.644519
3w5u_01_0.png,3,0.667449
3w5u_01_1.png,w,0.645289
3w5u_01_2.png,5,0.635846
3w5u_01_3.png,u,0.581047
3w5u_07_0.png,3,0.667449
3w5u_07_1.png,w,0.645289
3w5u_07_2.png,5,0.635846
3w5u_07_3.png,u,0.581047
3w5u_08_0.png,3,0.667449
3w5u_08_1.png,w,0.645289
3w5u_08_2.png,5,0.635846
3w5u_08_3.png,u,0.581047
3w5u_09_0.png,3,0.667449
3w5u_09_1.png,w,0.645289
3w5u_09_2.png,5,0.635846
3w5u_09_3.png,u,0.581047
3w5u_14_0.png,3,0.667449
3w5u_14_1.png,w,0.645289
3w5u_14_2.png,5,0.635846
3w5u_14_3.png,u,0.581047
3w5u_15_0.png,3,0.667449
3w5u_15_1.png,w,0.645289
3w5u_15_2.png,5,0.635846
3w5u_15_3.png,u,0.581047
3w5u_17_0.png,3,0.667449
3w5u_17_1.png,w,0.645289
3w5u_17_2.png,5,0.635846
3w5u_17_3.png,u,0.581047
3w5u_19_0.png,3,0.667449
3w5u_19_1.png,w,0.645289
3w5u_19_2.png,5,0.635846
3w5u_19_3.png,u,0.581047
3zmf_02_0.png,3,0.653983
3zmf_02_1.png,z,0.716789
3zmf_02_2.png,m,0.65268
3zmf_02_3.png,f,0.680088
3zmf_08_0.png,3,0.653983
3zmf_08_1.png,z,0.716789
3zmf_08_2.png,m,0.65268
3zmf_08_3.png,f,0.680088
3zmf_09_0.png,3,0.653983
3zmf_09_1.png,z,0.716789
3zmf_09_2.png,m,0.65268
3zmf_09_3.png,f,0.680088
3zmf_10_0.png,3,0.653983
3zmf_10_1.png,z,0.716789
3zmf_10_2.png,m,0.65268
3zmf_10_3.png,f,0.680088
3zmf_15_0.png,3,0.653983
3zmf_15_1.png,z,0.716789
3zmf_15_2.png,m,0.65268
3zmf_15_3.png,f,0.680088
3zmf_16_0.png,3,0.653983
3zmf_16_1.png,z,0.716789
3zmf_16_2.png,m,0.65268
3zmf_16_3.png,f,0.680088
3zmf_18_0.png,3,0.653983
3zmf_18_1.png,z,0.716789
3zmf_18_2.png,m,0.65268
3zmf_18_3.png,f,0.680088
40x3_09_0.png,4,0.700638
40x3_09_1.png,0,0.647408
40x3_09_2.png,x,0.725779
40x3_09_3.png,3,0.667795
40x3_10_0.png,4,0.700638
40x3_10_1.png,0,0.647408
40x3_10_2.png,x,0.725779
40x3_10_3.png,3,0.667795
40x3_11_0.png,4,0.700638
40x3_11_1.png,0,0.647408
40x3_11_2.png,x,0.725779
40x3_11_3.png,3,0.667795
40x3_16_0.png,4,0.700638
40x3_16_1.png,0,0.647408
40x3_16_2.png,x,0.725779
40x3_16_3.png,3,0.667795
40x3_17_0.png,4,0.700638
40x3_17_1.png,0,0.647408
40x3_17_2.png,x,0.725779
40x3_17_3.png,3,0.667795
40x3_19_0.png,4,0.700638
40x3_19_1.png,0,0.647408
40x3_19_2.png,x,0.725779
40x3_19_3.png,3,0.667795
41ib_03_0.png,4,0.709733
41ib_03_1.png,1,0.792635
41ib_03_2.png,j,0.524325
41ib_03_3.png,b,0.629496
41ib_10_0.png,4,0.709733
41ib_10_1.png,1,0.792635
41ib_10_2.png,j,0.524325
41ib_10_3.png,b,0.629496
41ib_11_0.png,4,0.709733
41ib_11_1.png,1,0.792635
41ib_11_2.png,j,0.524325
41ib_11_3.png,b,0.629496
41ib_12_0.png,4,0.709733
41ib_12_1.png,1,0.792635
41ib_12_2.png,j,0.524325
41ib_12_3.png,b,0.629496
41ib_17_0.png,4,0.709733
41ib_17_1.png,1,0.792635
41ib_17_2.png,j,0.524325
41ib_17_3.png,b,0.629496
41ib_18_0.png,4,0.709733
41ib_18_1.png,1,0.792635
41ib_18_2.png,j,0.524325
41ib_18_3.png,b,0.629496
4drr_11_0.png,4,0.690838
4drr_11_1.png,d,0.628217
4drr_11_2.png,7,0.180105
4drr_12_0.png,4,0.690838
4drr_12_1.png,d,0.628217
4drr_12_2.png,7,0.180105
4drr_13_0.png,4,0.690838
4drr_13_1.png,d,0.628217
4drr_13_2.png,7,0.180105
4drr_18_0.png,4,0.690838
4drr_18_1.png,d,0.628217
4drr_18_2.png,7,0.180105
4drr_19_0.png,4,0.690838
4drr_19_1.png,d,0.628217
4drr_19_2.png,7,0.180105
4nj6_12_0.png,4,0.705559
4nj6_12_1.png,n,0.592211
4nj6_12_2.png,j,0.480812
4nj6_12_3.png,6,0.626514
4nj6_13_0.png,4,0.705559
4nj6_13_1.png,n,0.592211
4nj6_13_2.png,j,0.480812
4nj6_13_3.png,6,0.626514
4nj6_14_0.png,4,0.705559
4nj6_14_1.png,n,0.592211
4nj6_14_2.png,j,0.480812
4nj6_14_3.png,6,0.626514
4nj6_19_0.png,4,0.705559
4nj6_19_1.png,n,0.592211
4nj6_19_2.png,j,0.480812
4nj6_19_3.png,6,0.626514
4v30_04_0.png,4,0.701773
4v30_04_1.png,v,0.700106
4v30_04_2.png,3,0.656714
4v30_04_3.png,0,0.646623
4v30_11_0.png,4,0.701773
4v30_11_1.png,v,0.700106
4v30_11_2.png,3,0.656714
4v30_11_3.png,0,0.646623
4v30_13_0.png,4,0.701773
4v30_13_1.png,v,0.700106
4v30_13_2.png,3,0.656714
4v30_13_3.png,0,0.646623
4v30_14_0.png,4,0.701773
4v30_14_1.png,v,0.700106
4v30_14_2.png,3,0.656714
4v30_14_3.png,0,0.646623
4v30_15_0.png,4,0.701773
4v30_15_1.png,v,0.700106
4v30_15_2.png,3,0.656714
4v30_15_3.png,0,0.646623
4wly_15_0.png,4,0.701882
4wly_15_1.png,w,0.663219
4wly_15_2.png,j,0.438693
4wly_15_3.png,y,0.643077
4wly_16_0.png,4,0.701882
4wly_16_1.png,w,0.663219
4wly_16_2.png,j,0.438693
4wly_16_3.png,y,0.643077
5hb8_14_0.png,5,0.657756
5hb8_14_1.png,h,0.654327
5hb8_14_2.png,b,0.624377
5hb8_14_3.png,8,0.68955
5hb8_16_0.png,5,0.657756
5hb8_16_1.png,h,0.654327
5hb8_16_2.png,b,0.624377
5hb8_16_3.png,8,0.68955
5hb8_17_0.png,5,0.657756
5hb8_17_1.png,h,0.654327
5hb8_17_2.png,b,0.624377
5hb8_17_3.png,8,0.68955
5lxo_05_0.png,5,0.622028
5lxo_05_1.png,t,0.396924
5lxo_05_2.png,x,0.624627
5lxo_05_3.png,o,0.731842
5lxo_12_0.png,5,0.622028
5lxo_12_1.png,t,0.396924
5lxo_12_2.png,x,0.624627
5lxo_12_3.png,o,0.731842
5lxo_15_0.png,5,0.622028
5lxo_15_1.png,t,0.396924
5lxo_15_2.png,x,0.624627
5lxo_15_3.png,o,0.731842
5lxo_17_0.png,5,0.622028
5lxo_17_1.png,t,0.396924
5lxo_17_2.png,x,0.624627
5lxo_17_3.png,o,0.731842
5lxo_18_0.png,5,0.622028
5lxo_18_1.png,t,0.396924
5lxo_18_2.png,x,0.624627
5lxo_18_3.png,o,0.731842
5mdq_13_0.png,5,0.621135
5mdq_13_1.png,m,0.64437
5mdq_13_2.png,d,0.616142
5mdq_13_3.png,q,0.638128
5mdq_16_0.png,5,0.621135
5mdq_16_1.png,m,0.64437
5mdq_16_2.png,d,0.616142
5mdq_16_3.png,q,0.638128
5mdq_18_0.png,5,0.621135
5mdq_18_1.png,m,0.64437
5mdq_18_2.png,d,0.616142
5mdq_18_3.png,q,0.638128
5mdq_19_0.png,5,0.621135
5mdq_19_1.png,m,0.64437
5mdq_19_2.png,d,0.616142
5mdq_19_3.png,q,0.638128
5sn1_14_0.png,5,0.632421
5sn1_14_1.png,s,0.585757
5sn1_14_2.png,n,0.550944
5sn1_14_3.png,1,0.799996
5sn1_17_0.png,5,0.632421
5sn1_17_1.png,s,0.585757
5sn1_17_2.png,n,0.550944
5sn1_17_3.png,1,0.799996
5sn1_19_0.png,5,0.632421
5sn1_19_1.png,s,0.585757
5sn1_19_2.png,n,0.550944
5sn1_19_3.png,1,0.799996
5w8t_18_0.png,5,0.636273
5w8t_18_1.png,w,0.683059
5w8t_18_2.png,8,0.687526
5w8t_18_3.png,t,0.717004
6qji_06_0.png,6,0.593958
6qji_06_1.png,q,0.281195
6qji_06_2.png,j,0.499792
6qji_06_3.png,j,0.524325
6qji_15_0.png,6,0.593958
6qji_15_1.png,q,0.281195
6qji_15_2.png,j,0.499792
6qji_19_0.png,6,0.593958
6qji_19_1.png,q,0.281195
6qji_19_2.png,j,0.499792
8mdd_07_0.png,8,0.687265
8mdd_07_1.png,m,0.636601
8mdd_07_2.png,d,0.607691
8mdd_07_3.png,d,0.612374
8mdd_16_0.png,8,0.687265
8mdd_16_1.png,m,0.636601
8mdd_16_2.png,d,0.607691
8mdd_16_3.png,d,0.612374
9xuy_08_0.png,9,0.588279
9xuy_08_1.png,x,0.669282
9xuy_08_2.png,u,0.56395
9xuy_08_3.png,y,0.673053
9xuy_17_0.png,9,0.588279
9xuy_17_1.png,x,0.669282
9xuy_17_2.png,u,0.56395
9xuy_17_3.png,y,0.673053
ahxt_09_0.png,a,0.616356
ahxt_09_1.png,h,0.654464
ahxt_09_2.png,x,0.73438
ahxt_09_3.png,t,0.621458
ahxt_18_0.png,a,0.616356
ahxt_18_1.png,h,0.654464
ahxt_18_2.png,x,0.73438
ahxt_18_3.png,t,0.621458
amc8_19_0.png,a,0.609485
amc8_19_1.png,m,0.661297
amc8_19_2.png,0,0.56387
amc8_19_3.png,8,0.712919
cidk_10_0.png,o,0.615454
cidk_10_1.png,j,0.522635
cidk_10_2.png,d,0.621559
cidk_10_3.png,k,0.669254
g0fn_11_0.png,q,0.449774
g0fn_11_1.png,0,0.647711
g0fn_11_2.png,f,0.740954
g0fn_11_3.png,n,0.59517
hv3a_12_0.png,h,0.638021
hv3a_12_1.png,v,0.690807
hv3a_12_2.png,3,0.671685
hv3a_12_3.png,a,0.585554
j7xv_13_0.png,1,0.559764
j7xv_13_1.png,7,0.764749
j7xv_13_2.png,x,0.724305
j7xv_13_3.png,v,0.65445
ljh7_14_0.png,j,0.56013
ljh7_14_1.png,1,0.582695
ljh7_14_2.png,h,0.641443
ljh7_14_3.png,7,0.771795
pbhs_15_0.png,p,0.624731
pbhs_15_1.png,b,0.627966
pbhs_15_2.png,h,0.646097
pbhs_15_3.png,s,0.620874
t9nt_16_0.png,t,0.715883
t9nt_16_1.png,9,0.616656
t9nt_16_2.png,n,0.605174
t9nt_16_3.png,t,0.7335
wnnh_17_0.png,w,0.651371
wnnh_17_1.png,n,0.586218
wnnh_17_2.png,n,0.587018
wnnh_17_3.png,h,0.63473
xaji_18_0.png,x,0.703927
xaji_18_1.png,a,0.615215
xaji_18_2.png,1,0.541966
xaji_18_3.png,j,0.529738
zbik_19_0.png,z,0.714317
zbik_19_1.png,b,0.622043
zbik_19_2.png,j,0.524325
zbik_19_3.png,k,0.631925
